ano_letivo,ra,nome,ano_nasc,idade,genero,pedra
2020,RA-1,Aluno-1,2003,17,Feminino,Ametista
2020,RA-2,Aluno-2,2005,15,Feminino,Ametista
2020,RA-3,Aluno-3,2005,15,Feminino,Ametista
2020,RA-4,Aluno-4,2005,15,Masculino,Ametista
2020,RA-5,Aluno-5,2005,15,Feminino,Ametista
2020,RA-7,Aluno-7,2004,16,Masculino,Ametista
2020,RA-8,Aluno-8,2002,18,Feminino,Quartzo
2020,RA-9,Aluno-9,2004,16,Feminino,Ametista
2020,RA-11,Aluno-11,2004,16,Feminino,Quartzo
2020,RA-12,Aluno-12,2005,15,Feminino,Agata
2020,RA-13,Aluno-13,2004,16,Masculino,Ametista
2020,RA-22,Aluno-22,2005,15,Feminino,Ametista
2020,RA-27,Aluno-27,2005,15,Masculino,Topazio
2020,RA-28,Aluno-28,2005,15,Feminino,Ametista
2020,RA-31,Aluno-31,2005,15,Feminino,Topazio
2020,RA-32,Aluno-32,2006,14,Feminino,Ametista
2020,RA-33,Aluno-33,2005,15,Feminino,Agata
2020,RA-34,Aluno-34,2005,15,Masculino,Ametista
2020,RA-35,Aluno-35,2005,15,Feminino,Ametista
2020,RA-36,Aluno-36,2005,15,Feminino,Topazio
2020,RA-37,Aluno-37,2005,15,Feminino,Ametista
2020,RA-38,Aluno-38,2005,15,Feminino,Ametista
2020,RA-39,Aluno-39,2006,14,Feminino,Ametista
2020,RA-40,Aluno-40,2006,14,Feminino,Ametista
2020,RA-41,Aluno-41,2005,15,Masculino,Agata
2020,RA-42,Aluno-42,2007,13,Masculino,Topazio
2020,RA-43,Aluno-43,2006,14,Feminino,Ametista
2020,RA-45,Aluno-45,2007,13,Feminino,Ametista
2020,RA-48,Aluno-48,2007,13,Feminino,Ametista
2020,RA-52,Aluno-52,2009,11,Masculino,Topazio
2020,RA-55,Aluno-55,2006,14,Feminino,Ametista
2020,RA-56,Aluno-56,2007,13,Feminino,Topazio
2020,RA-57,Aluno-57,2006,14,Masculino,Ametista
2020,RA-58,Aluno-58,2007,13,Masculino,Topazio
2020,RA-63,Aluno-63,2006,14,Masculino,Ametista
2020,RA-64,Aluno-64,2006,14,Masculino,Ametista
2020,RA-67,Aluno-67,2006,14,Feminino,Agata
2020,RA-68,Aluno-68,2006,14,Masculino,Ametista
2020,RA-69,Aluno-69,2006,14,Masculino,Ametista
2020,RA-70,Aluno-70,2006,14,Feminino,Agata
2020,RA-71,Aluno-71,2005,15,Feminino,Agata
2020,RA-76,Aluno-76,2007,13,Feminino,Ametista
2020,RA-77,Aluno-77,2006,14,Masculino,Quartzo
2020,RA-78,Aluno-78,2005,15,Masculino,Ametista
2020,RA-79,Aluno-79,2006,14,Feminino,Ametista
2020,RA-80,Aluno-80,2006,14,Feminino,Ametista
2020,RA-81,Aluno-81,2008,12,Feminino,Ametista
2020,RA-84,Aluno-84,2005,15,Feminino,Ametista
2020,RA-86,Aluno-86,2006,14,Masculino,Topazio
2020,RA-90,Aluno-90,2009,11,Feminino,Topazio
2020,RA-91,Aluno-91,2006,14,Feminino,Ametista
2020,RA-92,Aluno-92,2006,14,Feminino,Topazio
2020,RA-93,Aluno-93,2007,13,Feminino,Ametista
2020,RA-94,Aluno-94,2007,13,Feminino,Ametista
2020,RA-97,Aluno-97,2007,13,Feminino,Ametista
2020,RA-98,Aluno-98,2007,13,Feminino,Topazio
2020,RA-99,Aluno-99,2006,14,Masculino,Agata
2020,RA-100,Aluno-100,2009,11,Feminino,Ametista
2020,RA-102,Aluno-102,2008,12,Masculino,Ametista
2020,RA-103,Aluno-103,2009,11,Feminino,Agata
2020,RA-105,Aluno-105,2005,15,Masculino,Ametista
2020,RA-106,Aluno-106,2007,13,Feminino,Topazio
2020,RA-107,Aluno-107,2007,13,Feminino,Topazio
2020,RA-108,Aluno-108,2005,15,Feminino,Agata
2020,RA-110,Aluno-110,2008,12,Masculino,Ametista
2020,RA-111,Aluno-111,2009,11,Feminino,Ametista
2020,RA-112,Aluno-112,2007,13,Feminino,Ametista
2020,RA-113,Aluno-113,2007,13,Feminino,Ametista
2020,RA-115,Aluno-115,2006,14,Feminino,Ametista
2020,RA-116,Aluno-116,2006,14,Feminino,Ametista
2020,RA-119,Aluno-119,2008,12,Feminino,Ametista
2020,RA-120,Aluno-120,2007,13,Masculino,Ametista
2020,RA-122,Aluno-122,2008,12,Feminino,Agata
2020,RA-123,Aluno-123,2006,14,Masculino,Ametista
2020,RA-124,Aluno-124,2008,12,Masculino,Ametista
2020,RA-126,Aluno-126,2007,13,Masculino,Ametista
2020,RA-128,Aluno-128,2007,13,Masculino,Ametista
2020,RA-129,Aluno-129,2007,13,Masculino,Ametista
2020,RA-130,Aluno-130,2006,14,Feminino,Quartzo
2020,RA-131,Aluno-131,2007,13,Feminino,Topazio
2020,RA-132,Aluno-132,2008,12,Feminino,Topazio
2020,RA-133,Aluno-133,2007,13,Feminino,Ametista
2020,RA-135,Aluno-135,2007,13,Feminino,Topazio
2020,RA-136,Aluno-136,2007,13,Masculino,Agata
2020,RA-137,Aluno-137,2005,15,Feminino,Quartzo
2020,RA-138,Aluno-138,2007,13,Masculino,Ametista
2020,RA-139,Aluno-139,2005,15,Masculino,Quartzo
2020,RA-141,Aluno-141,2008,12,Masculino,Agata
2020,RA-143,Aluno-143,2009,11,Masculino,Topazio
2020,RA-144,Aluno-144,2008,12,Feminino,Agata
2020,RA-145,Aluno-145,2006,14,Masculino,Agata
2020,RA-150,Aluno-150,2006,14,Feminino,Ametista
2020,RA-151,Aluno-151,2006,14,Feminino,Ametista
2020,RA-153,Aluno-153,2008,12,Feminino,Agata
2020,RA-154,Aluno-154,2007,13,Masculino,Agata
2020,RA-156,Aluno-156,2007,13,Masculino,Ametista
2020,RA-157,Aluno-157,2010,10,Feminino,Ametista
2020,RA-158,Aluno-158,2005,15,Feminino,Ametista
2020,RA-161,Aluno-161,2011,9,Feminino,Ametista
2020,RA-164,Aluno-164,2006,14,Masculino,Agata
2020,RA-165,Aluno-165,2008,12,Feminino,Ametista
2020,RA-166,Aluno-166,2008,12,Masculino,Ametista
2020,RA-167,Aluno-167,2006,14,Feminino,Ametista
2020,RA-168,Aluno-168,2007,13,Feminino,Ametista
2020,RA-169,Aluno-169,2007,13,Feminino,Agata
2020,RA-170,Aluno-170,2008,12,Feminino,Ametista
2020,RA-172,Aluno-172,2008,12,Feminino,Ametista
2020,RA-173,Aluno-173,2005,15,Masculino,Ametista
2020,RA-174,Aluno-174,2007,13,Feminino,Agata
2020,RA-175,Aluno-175,2007,13,Feminino,Ametista
2020,RA-176,Aluno-176,2009,11,Feminino,Topazio
2020,RA-178,Aluno-178,2009,11,Feminino,Ametista
2020,RA-180,Aluno-180,2010,10,Masculino,Topazio
2020,RA-181,Aluno-181,2009,11,Feminino,Topazio
2020,RA-184,Aluno-184,2006,14,Masculino,Ametista
2020,RA-186,Aluno-186,2009,11,Feminino,Ametista
2020,RA-187,Aluno-187,2010,10,Feminino,Ametista
2020,RA-189,Aluno-189,2008,12,Masculino,Ametista
2020,RA-191,Aluno-191,2009,11,Masculino,Topazio
2020,RA-193,Aluno-193,2010,10,Masculino,Topazio
2020,RA-195,Aluno-195,2009,11,Feminino,Ametista
2020,RA-196,Aluno-196,2010,10,Masculino,Ametista
2020,RA-198,Aluno-198,2009,11,Masculino,Ametista
2020,RA-200,Aluno-200,2007,13,Masculino,Quartzo
2020,RA-202,Aluno-202,2008,12,Feminino,Ametista
2020,RA-204,Aluno-204,2009,11,Feminino,Ametista
2020,RA-205,Aluno-205,2008,12,Masculino,Ametista
2020,RA-208,Aluno-208,2008,12,Masculino,Ametista
2020,RA-209,Aluno-209,2008,12,Masculino,Quartzo
2020,RA-216,Aluno-216,2009,11,Feminino,Ametista
2020,RA-219,Aluno-219,2006,14,Masculino,Ametista
2020,RA-222,Aluno-222,2007,13,Feminino,Agata
2020,RA-228,Aluno-228,2007,13,Feminino,Agata
2020,RA-240,Aluno-240,2009,11,Feminino,Ametista
2020,RA-241,Aluno-241,2008,12,Masculino,Ametista
2020,RA-242,Aluno-242,2009,11,Masculino,Ametista
2020,RA-244,Aluno-244,2010,10,Feminino,Topazio
2020,RA-245,Aluno-245,2008,12,Masculino,Ametista
2020,RA-249,Aluno-249,2008,12,Masculino,Agata
2020,RA-251,Aluno-251,2007,13,Masculino,Ametista
2020,RA-252,Aluno-252,2008,12,Masculino,Agata
2020,RA-253,Aluno-253,2007,13,Masculino,Agata
2020,RA-254,Aluno-254,2008,12,Masculino,Ametista
2020,RA-255,Aluno-255,2008,12,Masculino,Quartzo
2020,RA-256,Aluno-256,2010,10,Feminino,Ametista
2020,RA-257,Aluno-257,2008,12,Feminino,Ametista
2020,RA-258,Aluno-258,2010,10,Feminino,Ametista
2020,RA-259,Aluno-259,2006,14,Masculino,Quartzo
2020,RA-260,Aluno-260,2009,11,Feminino,Topazio
2020,RA-261,Aluno-261,2008,12,Feminino,Agata
2020,RA-263,Aluno-263,2007,13,Feminino,Agata
2020,RA-265,Aluno-265,2009,11,Masculino,Ametista
2020,RA-266,Aluno-266,2006,14,Feminino,Quartzo
2020,RA-267,Aluno-267,2007,13,Feminino,Agata
2020,RA-270,Aluno-270,2009,11,Feminino,Ametista
2020,RA-273,Aluno-273,2008,12,Feminino,Ametista
2020,RA-274,Aluno-274,2011,9,Feminino,Ametista
2020,RA-275,Aluno-275,2007,13,Masculino,Quartzo
2020,RA-276,Aluno-276,2008,12,Feminino,Agata
2020,RA-278,Aluno-278,2010,10,Masculino,Ametista
2020,RA-279,Aluno-279,2009,11,Masculino,Topazio
2020,RA-281,Aluno-281,2009,11,Feminino,Ametista
2020,RA-282,Aluno-282,2009,11,Feminino,Ametista
2020,RA-283,Aluno-283,2008,12,Masculino,Agata
2020,RA-285,Aluno-285,2006,14,Feminino,Ametista
2020,RA-289,Aluno-289,2008,12,Feminino,Ametista
2020,RA-298,Aluno-298,2009,11,Masculino,Ametista
2020,RA-299,Aluno-299,2009,11,Feminino,Topazio
2020,RA-301,Aluno-301,2009,11,Feminino,Ametista
2020,RA-303,Aluno-303,2008,12,Masculino,Ametista
2020,RA-304,Aluno-304,2007,13,Masculino,Ametista
2020,RA-305,Aluno-305,2008,12,Masculino,Ametista
2020,RA-308,Aluno-308,2009,11,Masculino,Ametista
2020,RA-318,Aluno-318,2008,12,Feminino,Agata
2020,RA-328,Aluno-328,2010,10,Masculino,Ametista
2020,RA-329,Aluno-329,2011,9,Masculino,Ametista
2020,RA-330,Aluno-330,2008,12,Feminino,Agata
2020,RA-331,Aluno-331,2010,10,Feminino,Ametista
2020,RA-332,Aluno-332,2009,11,Masculino,Ametista
2020,RA-333,Aluno-333,2008,12,Masculino,Agata
2020,RA-334,Aluno-334,2011,9,Feminino,Topazio
2020,RA-336,Aluno-336,2009,11,Masculino,Ametista
2020,RA-338,Aluno-338,2010,10,Masculino,Ametista
2020,RA-339,Aluno-339,2011,9,Feminino,Topazio
2020,RA-340,Aluno-340,2011,9,Masculino,Ametista
2020,RA-343,Aluno-343,2008,12,Masculino,Ametista
2020,RA-344,Aluno-344,2011,9,Masculino,Topazio
2020,RA-347,Aluno-347,2010,10,Feminino,Topazio
2020,RA-352,Aluno-352,2011,9,Masculino,Ametista
2020,RA-354,Aluno-354,2009,11,Feminino,Ametista
2020,RA-355,Aluno-355,2010,10,Feminino,Ametista
2020,RA-356,Aluno-356,2010,10,Masculino,Topazio
2020,RA-359,Aluno-359,2010,10,Feminino,Ametista
2020,RA-360,Aluno-360,2010,10,Feminino,Ametista
2020,RA-362,Aluno-362,2010,10,Feminino,Agata
2020,RA-364,Aluno-364,2011,9,Masculino,Ametista
2020,RA-367,Aluno-367,2010,10,Feminino,Topazio
2020,RA-368,Aluno-368,2009,11,Masculino,Ametista
2020,RA-370,Aluno-370,2010,10,Feminino,Ametista
2020,RA-375,Aluno-375,2011,9,Masculino,Topazio
2020,RA-376,Aluno-376,2010,10,Feminino,Ametista
2020,RA-380,Aluno-380,2009,11,Masculino,Ametista
2020,RA-381,Aluno-381,2009,11,Masculino,Agata
2020,RA-382,Aluno-382,2008,12,Masculino,Ametista
2020,RA-383,Aluno-383,2011,9,Masculino,Topazio
2020,RA-384,Aluno-384,2010,10,Feminino,Ametista
2020,RA-386,Aluno-386,2009,11,Masculino,Agata
2020,RA-387,Aluno-387,2009,11,Masculino,Agata
2020,RA-388,Aluno-388,2008,12,Feminino,Agata
2020,RA-389,Aluno-389,2011,9,Masculino,Ametista
2020,RA-393,Aluno-393,2006,14,Feminino,Agata
2020,RA-395,Aluno-395,2011,9,Feminino,Ametista
2020,RA-397,Aluno-397,2008,12,Feminino,Quartzo
2020,RA-400,Aluno-400,2008,12,Masculino,Agata
2020,RA-402,Aluno-402,2010,10,Feminino,Agata
2020,RA-403,Aluno-403,2010,10,Masculino,Ametista
2020,RA-404,Aluno-404,2010,10,Feminino,Ametista
2020,RA-405,Aluno-405,2009,11,Masculino,Quartzo
